ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,is_cancelled_disputed,price_cap_ratio,is_price_mismatch_severe,is_price_below_msrp,is_qty_outlier,is_price_outlier,anomaly_count,is_any_anomaly,is_multi_flagged,severity_score,severity_level
10407,76,100.0,2,14082.8,2005-04-22,On Hold,2,4,2005,Vintage Cars,170,S18_1749,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Large,True,1.853,True,True,True,False,4,True,True,5,High
10253,40,100.0,6,6773.6,2004-06-01,Cancelled,2,6,2004,Classic Cars,169,S18_3232,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,True,1.6934,True,True,False,False,3,True,True,4,High
10417,56,100.0,4,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,True,1.6461,False,True,False,False,2,True,True,3,High
10407,64,40.25,10,2576.0,2005-04-22,On Hold,2,4,2005,Classic Cars,50,S24_1628,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Small,True,1.0,False,False,False,True,2,True,True,3,High
10334,20,100.0,3,2878.8,2004-11-19,On Hold,4,11,2004,Classic Cars,169,S18_3232,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Small,True,1.4394,False,True,False,False,2,True,True,3,High
10401,77,92.0,9,7084.0,2005-04-03,On Hold,2,4,2005,Planes,80,S700_3167,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,True,1.0,False,False,True,False,2,True,True,3,High
10401,85,88.75,10,7543.75,2005-04-03,On Hold,2,4,2005,Planes,99,S700_2466,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,True,1.0,False,False,True,False,2,True,True,3,High
10407,76,94.5,6,7182.0,2005-04-22,On Hold,2,4,2005,Classic Cars,90,S24_2766,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,Large,True,1.0,False,False,True,False,2,True,True,3,High
10253,24,100.0,13,3922.56,2004-06-01,Cancelled,2,6,2004,Classic Cars,194,S12_1099,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,True,1.6344,False,True,False,False,2,True,True,3,High
10414,31,75.89,4,2352.59,2005-05-06,On Hold,2,5,2005,Ships,72,S700_2610,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,Small,True,1.0,False,False,False,False,1,True,False,2,Medium
10291,37,100.0,11,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,False,1.9287,True,True,False,False,2,True,True,2,Medium
10206,47,100.0,6,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large,False,1.9287,True,True,False,False,2,True,True,2,Medium
10194,42,100.0,11,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,False,1.7358,True,True,False,False,2,True,True,2,Medium
10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium,False,2.3144,True,True,False,False,2,True,True,2,Medium
10248,40,100.0,13,4157.2,2004-05-07,Cancelled,2,5,2004,Ships,86,S700_1938,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,True,1.0393,False,False,False,False,1,True,False,2,Medium
10401,11,100.0,8,1135.31,2005-04-03,On Hold,2,4,2005,Planes,91,S700_1691,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Small,True,1.0321,False,False,False,False,1,True,False,2,Medium
10262,40,84.03,4,3361.2,2004-06-24,Cancelled,2,6,2004,Planes,91,S700_1691,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,True,1.0,False,False,False,False,1,True,False,2,Medium
10414,37,71.34,6,2639.58,2005-05-06,On Hold,2,5,2005,Ships,66,S700_1138,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,Small,True,1.0,False,False,False,False,1,True,False,2,Medium
10248,36,71.34,6,2568.24,2004-05-07,Cancelled,2,5,2004,Ships,66,S700_1138,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,True,0.9999999999999998,False,False,False,False,1,True,False,2,Medium
10107,27,100.0,4,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,False,2.2465,True,True,False,False,2,True,True,2,Medium
10417,45,100.0,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,True,1.3083,False,False,False,False,1,True,False,2,Medium
10280,34,100.0,2,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,False,2.3573,True,True,False,False,2,True,True,2,Medium
10270,21,100.0,9,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,False,2.3359,True,True,False,False,2,True,True,2,Medium
10258,32,100.0,6,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,False,2.4002,True,True,False,False,2,True,True,2,Medium
10245,34,100.0,9,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,False,1.8001,True,True,False,False,2,True,True,2,Medium
10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium,False,2.3359,True,True,False,False,2,True,True,2,Medium
10401,21,96.11,2,2018.31,2005-04-03,On Hold,2,4,2005,Planes,118,S700_2834,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Small,True,1.0,False,False,False,False,1,True,False,2,Medium
